,filename,caption
0,train_1.jpg,"A white round plate is on a table with a plastic tablecloth on it.  Two foil covered food halves are on the white plate along with a serving of golden yellow french fries.  Next to the white plate in a short,  topless, plastic container is a white sauce.  Diagonal to the white plate are the edges of several other stacked plates.  There are black shadows reflected on the table."
1,train_2.jpg,"There are four small pizzas on a brown wooden plate.  There are greens in the center for garnish.  The small pizzas have broccoli, red peppers and cheese for toppings.  The wooden plate is sitting on a white table top."
2,train_3.jpg,A black and white cat is sitting in a white chair. The cat is looking up at the camera. There is a black cord and a black strap on the floor in front of the chair. There is another piece of white furniture next to the chair.
3,train_4.jpg,"A boy is practicing his skateboard moves outside of a driveway.  The cars parked behind him indicate that he is in front of a motel or an apartment house.  The boy is dressed in blue jeans and a gray sweatshirt with a silkscreen print on the front, thought it can't be made out what it is.  He is wearing black skater shoes and a baseball cap.  His face can't be seen because it is blocked by the hat's bill.  He is very intent on learning this turn on flat ground."
4,train_5.jpg,Two brown horses are standing together outside. There heads are up against the side of the building. The both have saddles on. They are standing on concrete. 
5,train_6.jpg,A couple is sitting on a bench along a path in a park setting. They face a small green lake. Over the lake is a red bridge on stilts with multicolored flags on staffs at intervals on the bridge walkway. The park is filled with trees and shrubs and the sky is overcast. 
6,train_7.jpg,There are two large giraffes in a field. There are trees lined up behind the giraffes. There are green bushes behind them. 
7,train_8.jpg,A silver train is on the ground. There is graffiti on the bottom of the train. There are rocks and grass next to the train. 
8,train_9.jpg,A street is flooded with brown water. The water is slightly choppy. There is a yellow and black traffic post in the water. There are traffic sign indicating the direction of cities. The sign is green. Over it is a blue street sign. Trees surround the area.
9,train_10.jpg,The image has a tropical feel to it that is located on a beach.  There are people on the beach and walking towards the water.  There is an orange boat in the water with people on it.  There are also trees on the beach that provides shade on a sunny day.  There is a woman sitting under the tree as well. 
10,train_11.jpg,a living room is full of furniture. one couch is white. the other couch is tan. there is a wooden table in the middle of the room.
11,train_12.jpg,Skis and snowboards are standing upright on a metal rack.  The rack is in the snow.  There is snow covering the trees and buildings.  In the background is a forest of trees with snow on them.  The snowboards have areas to put shoes into.  The skis are taller than the snowboards.  Some poles are sticking in the snow ground behind the skis and snowboards.
12,train_13.jpg,A bunch of statues are displayed on a shelf. The shelf is a rustic wooden color. All of the statues are of animals except for the bell and empty bottle. The collection is very nice looking.
13,train_14.jpg,the office has two monitors. the monitors have a picture of a baby on it. the keyboard is under the screens. there is also a black mouse. there is no office chair. there are a lot of pictures on the wall.
14,train_15.jpg,"A black steam train is seen on a set of train tracks near two wooden planks. The train has a sign on the top which reads ""X2472"". There is gravel around the tracks and under the wooden planks. On the right side of the train is a parking lot with a gold car parked and trees in front of the parking lot."
15,train_16.jpg,there are bowls on a tray. each bowl has different foods in it. the tray has hello kitty on it. on of the bowls have pickles inside of it.
16,train_17.jpg,A silver laptop is turned on sitting on a white desk. Next to the desk is a black mouse. There are several papers in a stack on the desk. There are many pens in cups next to the computer.  
